ID,TIPO PRODUTO,QUANTIDADE (Kg),Nº ONU,Nº PERIGO,CLASSE,RAIO MINIMO,RAIO MAXIMO,RAIO INCENDIO,RISCO EXPLOSAO,OBSERVAÇÕES,ONU_NORM,ONU_LIMPEZA,CLASSE_NORM,CLASSE_LIMPEZA,CLASSE_DESC,PRODUTO_CANON
917,Tolueno,3400.0,1294,33,3.3,50,300.0,800,True,,1294,ok,3,recuperado major de '3.3' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tolueno
918,Acendalhas solidas impregnadas de liquido inflamavel,17860.0,2623,40,4.1,25,100.0,800,True,,2623,ok,4.1,ok,4.1 — Sólidos inflamáveis,acendalhas solidas impregnadas de liquido inflamavel
919,Acendalhas solidas impregnadas de liquido inflamavel,17860.0,2623,40,4.1,25,100.0,800,True,,2623,ok,4.1,ok,4.1 — Sólidos inflamáveis,acendalhas solidas impregnadas de liquido inflamavel
920,Aminas liquidas corrosivas n.s.a.,15000.0,2735,88,8.0,50,,800,True,,2735,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,aminas liquidas corrosivas n.s.a.
920,Adesivos contendo um liquido inflamavel,4862.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
920,Tricloroetileno,15000.0,1710,60,6.1,50,100.0,800,True,,1710,ok,6.1,ok,6.1 — Matérias tóxicas,tricloroetileno
920,Tintas ou materias aparentadas as tintas,15643.0,1263,33,3.5,50,300.0,800,True,,1263,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
920,Aerossois,11932.0,1950,20,2.5,50,500.0,800,True,,1950,ok,2,recuperado major de '2.5' (provável Nº perigo na coluna),2 — Gases,aerossois
921,Tintas ou materias aparentadas as tintas,18189.0,1263,33,3.5,50,300.0,800,True,,1263,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
922,Tintas ou materias aparentadas as tintas,1230.0,1263,33,3.5,50,300.0,800,True,,1263,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
923,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
924,Materia perigosa do ponto de vista do ambiente liquida n.s.a,21612.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
925,Tintas ou materias aparentadas as tintas,18945.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
926,Tintas ou materias aparentadas as tintas,46900.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
926,Resina em solucao,1866.0,1866,33,3.0,50,300.0,800,True,,1866,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,resina em solucao
927,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
928,Adesivos contendo um liquido inflamavel,4862.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
929,Tintas ou materias aparentadas as tintas,900.0,1263,30,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
930,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.5,50,300.0,800,True,,1133,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
931,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.5,50,300.0,800,True,,1133,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
932,Formaldeido em solucao com pelo menos 25% de formaldeido,195.0,2209,80,8.0,50,50.0,800,True,,2209,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,formaldeido em solucao com pelo menos 25% de formaldeido
933,Tintas ou materias aparentadas as tintas,600.0,1263,33,3.5,50,300.0,800,True,,1263,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
934,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.5,50,300.0,800,True,,1133,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
935,Diisocianato de toluileno,23990.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
936,Diisocianato de toluileno,20000.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
937,Diisocianato de toluileno,20000.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
938,Diclorometano,6760.0,1593,60,6.1,50,100.0,800,True,,1593,ok,6.1,ok,6.1 — Matérias tóxicas,diclorometano
939,Tintas ou materias aparentadas as tintas,435.0,1263,33,3.3,50,300.0,800,True,,1263,ok,3,recuperado major de '3.3' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
940,Adesivos contendo um liquido inflamavel,4862.0,1133,30,3.3,50,300.0,800,True,,1133,ok,3,recuperado major de '3.3' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
941,Tintas ou materias aparentadas as tintas,900.0,1263,33,3.5,50,300.0,800,True,,1263,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
942,Produtos de perfumaria,13122.0,1266,33,3.5,50,300.0,800,True,,1266,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,produtos de perfumaria
943,Diisocianato de toluileno,21440.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
943,Adesivos contendo um liquido inflamavel,4603.0,1133,33,3.5,50,300.0,800,True,,1133,ok,3,recuperado major de '3.5' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
944,Diisocianato de toluileno,20000.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
944,Tintas ou materias aparentadas as tintas,1000.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
945,Adesivos contendo um liquido inflamavel,19500.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
946,Amoniaco anidro,0.0,1005,268,2.0,100,,1600,True,,1005,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,amoniaco anidro
947,Enxofre fundido,0.0,2448,44,4.1,25,100.0,800,True,,2448,ok,4.1,ok,4.1 — Sólidos inflamáveis,enxofre fundido
948,Adesivos contendo um liquido inflamavel,4862.0,1133,30,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
949,Tintas ou materias aparentadas as tintas,0.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
